id,efectiva_a,tipo_via,rel_ir_barrio,cant_trafos,estadocort,estrato,grupomedidor,tarifa,fases_med,personasxm2,rel_viv_casa,rel_viv_apto,rel_viv_cuarto,rel_viv_temp,rel_viv_recibo,pers_x_viv,relacion_personas_primaria,relacion_personas_secundaria,relacion_personas_superior,relacion_personas_postgrado,relacion_pers_ning_estudio,relacion_pers_0_9,relacion_pers_10_19,relacion_pers_20_29,relacion_pers_30_39,relacion_pers_40_49,relacion_pers_50_59,relacion_pers_60_69,relacion_pers_70_79,relacion_pers_80_mas,condicion
6293,NO,2,0.0,18,1,3.0,BAEG,1,3.0,0.0305642212639692,0.2172774869109947,0.7774869109947643,0.0052356020942408,0.013089005235602,0.9918478260869564,2.908376963350785,0.1206120612061206,0.3735373537353735,0.3753375337533753,0.054005400540054,0.0126012601260126,0.1017101710171017,0.1485148514851485,0.1665166516651665,0.1647164716471647,0.1656165616561656,0.126012601260126,0.0774077407740774,0.0324032403240324,0.0171017101710171,8
6356,NO,3,0.0,49,1,6.0,BAHP,1,3.0,0.0170577379188664,0.0267857142857142,0.9732142857142856,0.0,0.0357142857142857,1.0,2.125,0.1092436974789915,0.2184873949579831,0.4789915966386554,0.1638655462184873,0.0084033613445378,0.0462184873949579,0.0714285714285714,0.1008403361344537,0.088235294117647,0.1260504201680672,0.1974789915966386,0.2016806722689075,0.0924369747899159,0.0756302521008403,9
6337,NO,1,0.0006596306068601,104,1,6.0,BAEP,1,3.0,0.013105410709254,0.054054054054054,0.945945945945946,0.0,0.027027027027027,1.0,2.567567567567568,0.1263157894736842,0.3052631578947368,0.3789473684210526,0.1894736842105263,0.0,0.0105263157894736,0.0842105263157894,0.0947368421052631,0.031578947368421,0.1263157894736842,0.2105263157894736,0.1894736842105263,0.1368421052631578,0.1157894736842105,9
183,SI,1,0.0032509752925877,179,1,3.0,R4EQ,2,3.0,0.0076721217889677,0.0576923076923076,0.25,0.6923076923076923,0.0961538461538461,1.0,1.8846153846153848,0.3265306122448979,0.4693877551020408,0.0510204081632653,0.0,0.0918367346938775,0.1122448979591836,0.1428571428571428,0.1326530612244897,0.1326530612244897,0.1326530612244897,0.1530612244897959,0.0714285714285714,0.1122448979591836,0.010204081632653,0
6286,NO,2,0.0,88,1,6.0,BAEG,1,3.0,0.0049784382425536,0.176056338028169,0.8239436619718309,0.0,0.1901408450704225,0.99,1.9577464788732395,0.0899280575539568,0.1690647482014388,0.4712230215827338,0.1618705035971223,0.0287769784172661,0.0899280575539568,0.0539568345323741,0.1294964028776978,0.1438848920863309,0.1115107913669064,0.1762589928057553,0.1438848920863309,0.1007194244604316,0.0503597122302158,9
6287,NO,2,0.0,88,1,6.0,BAEG,1,3.0,0.0049784382425536,0.176056338028169,0.8239436619718309,0.0,0.1901408450704225,0.99,1.9577464788732395,0.0899280575539568,0.1690647482014388,0.4712230215827338,0.1618705035971223,0.0287769784172661,0.0899280575539568,0.0539568345323741,0.1294964028776978,0.1438848920863309,0.1115107913669064,0.1762589928057553,0.1438848920863309,0.1007194244604316,0.0503597122302158,9
2552,NO,0,0.000506329113924,472,1,9.0,FIHE,1,2.0,0.0012483573645846,0.608695652173913,0.3478260869565217,0.0434782608695652,0.0,1.0,2.3478260869565215,0.4074074074074074,0.3333333333333333,0.2037037037037037,0.0,0.0,0.074074074074074,0.074074074074074,0.1666666666666666,0.1296296296296296,0.074074074074074,0.1481481481481481,0.1666666666666666,0.1111111111111111,0.0555555555555555,5
6283,NO,1,0.0009940357852882,67,1,6.0,BAEG,1,3.0,0.0108621022741868,0.0833333333333333,0.9027777777777776,0.0138888888888888,0.0694444444444444,1.0,2.263888888888889,0.1042944785276073,0.1901840490797546,0.5214723926380368,0.1042944785276073,0.0245398773006134,0.0552147239263803,0.1472392638036809,0.1165644171779141,0.1288343558282208,0.1042944785276073,0.1963190184049079,0.1104294478527607,0.0920245398773006,0.0490797546012269,9
6332,NO,1,0.0,191,1,5.0,BAEP,1,3.0,0.0094417287967281,0.1153846153846153,0.8846153846153846,0.0,0.2692307692307692,1.0,0.9038461538461539,0.1063829787234042,0.1914893617021276,0.3829787234042553,0.2553191489361702,0.0,0.0,0.0,0.1276595744680851,0.2127659574468085,0.1489361702127659,0.1276595744680851,0.1276595744680851,0.0638297872340425,0.1914893617021276,9
2246,SI,8,0.0162616822429906,72,6,8.0,ESMA,1,1.0,0.0186144948996479,0.4842105263157894,0.4210526315789473,0.0947368421052631,0.0947368421052631,0.9871794871794872,2.978947368421053,0.3498233215547703,0.4770318021201413,0.07773851590106,0.0,0.0141342756183745,0.166077738515901,0.1696113074204946,0.1872791519434628,0.1130742049469964,0.1448763250883392,0.0848056537102473,0.0530035335689045,0.0494699646643109,0.0318021201413427,0
